time,volume,open,close,date
00:00:00,2668716,233.49,230.66,2019-12-03
00:00:00,2431455,230.72,231.59,2019-12-04
00:00:00,2321058,231.89,231.71,2019-12-05
00:00:00,3328617,232,235.14,2019-12-06
00:00:00,3177404,235.5,237.04,2019-12-09
00:00:00,3609891,236.6,237.91,2019-12-10
00:00:00,4416785,237.81,240.32,2019-12-11
00:00:00,3617465,242,241.05,2019-12-12
00:00:00,3316375,242,241.21,2019-12-13
00:00:00,2562418,242.48,241.45,2019-12-16
00:00:00,3380467,241.8,241.6,2019-12-17
00:00:00,5576549,241.3,246.2,2019-12-18
00:00:00,5995176,246.2,244,2019-12-19
00:00:00,3295775,244.6,244.71,2019-12-20
00:00:00,2399681,244.71,248.8,2019-12-23
00:00:00,2106204,248.8,248.67,2019-12-24
00:00:00,792126,248.99,248.04,2019-12-25
00:00:00,1298908,248.2,248.24,2019-12-26
00:00:00,3198276,248.55,252.06,2019-12-27
00:00:00,4315736,252.1,254.75,2019-12-30
00:00:00,3585184,255.99,255,2020-01-03
00:00:00,2234830,254.75,253.9,2020-01-06
00:00:00,4081724,253.57,259.15,2020-01-08
00:00:00,3832902,259.4,257.99,2020-01-09
00:00:00,1885139,257.86,258.19,2020-01-10
00:00:00,2585501,258.3,262.4,2020-01-13
00:00:00,3112574,262.5,259.05,2020-01-14
00:00:00,4936179,258.49,256.31,2020-01-15
00:00:00,4024677,257.11,257.51,2020-01-16
00:00:00,4491429,258.2,262.5,2020-01-17
00:00:00,2979771,263.2,266.28,2020-01-20
00:00:00,3808209,265.5,268.06,2020-01-21
00:00:00,4428249,268.72,266.54,2020-01-22
00:00:00,4060417,264.64,263.73,2020-01-23
00:00:00,2734010,264.5,265.49,2020-01-24
00:00:00,5645337,261,255.32,2020-01-27
00:00:00,4813736,257,257.7,2020-01-28
00:00:00,3504794,258.4,259.94,2020-01-29
00:00:00,3176934,258,257.31,2020-01-30
00:00:00,4767036,258.5,252.2,2020-01-31
00:00:00,5272846,251.8,253.99,2020-02-03
00:00:00,4978636,255.3,255.4,2020-02-04
00:00:00,5075657,255.89,255.2,2020-02-05
00:00:00,4361598,256.5,252.11,2020-02-06
00:00:00,5022663,253.1,254.3,2020-02-07
00:00:00,3522069,254.55,252.26,2020-02-10
00:00:00,7945473,253.75,254.5,2020-02-11
00:00:00,5252330,255.4,254.5,2020-02-12
00:00:00,3673084,253.62,253.89,2020-02-13
00:00:00,3001738,254.4,251.75,2020-02-14
00:00:00,2642938,252.5,251.36,2020-02-17
00:00:00,3636595,250.07,249.2,2020-02-18
