time,volume,open,close
2020-01-20 00:00:00+00:00,217,"Quotation(units=77, nano=600000000)","Quotation(units=77, nano=600000000)"
2020-01-21 00:00:00+00:00,174,"Quotation(units=78, nano=200000000)","Quotation(units=78, nano=0)"
2020-01-22 00:00:00+00:00,56,"Quotation(units=77, nano=0)","Quotation(units=78, nano=0)"
2020-01-23 00:00:00+00:00,37,"Quotation(units=77, nano=0)","Quotation(units=76, nano=800000000)"
2020-01-24 00:00:00+00:00,457,"Quotation(units=75, nano=400000000)","Quotation(units=75, nano=600000000)"
2020-01-27 00:00:00+00:00,664,"Quotation(units=75, nano=800000000)","Quotation(units=73, nano=600000000)"
2020-01-28 00:00:00+00:00,77,"Quotation(units=74, nano=200000000)","Quotation(units=74, nano=0)"
2020-01-29 00:00:00+00:00,403,"Quotation(units=73, nano=0)","Quotation(units=72, nano=400000000)"
2020-01-30 00:00:00+00:00,4864,"Quotation(units=72, nano=800000000)","Quotation(units=73, nano=0)"
2020-01-31 00:00:00+00:00,1206,"Quotation(units=73, nano=800000000)","Quotation(units=71, nano=800000000)"
2020-02-03 00:00:00+00:00,819,"Quotation(units=71, nano=200000000)","Quotation(units=72, nano=0)"
2020-02-04 00:00:00+00:00,232,"Quotation(units=70, nano=200000000)","Quotation(units=71, nano=600000000)"
2020-02-05 00:00:00+00:00,309,"Quotation(units=72, nano=0)","Quotation(units=71, nano=0)"
2020-02-06 00:00:00+00:00,344,"Quotation(units=71, nano=800000000)","Quotation(units=70, nano=0)"
2020-02-07 00:00:00+00:00,651,"Quotation(units=70, nano=800000000)","Quotation(units=72, nano=200000000)"
2020-02-10 00:00:00+00:00,134,"Quotation(units=74, nano=400000000)","Quotation(units=73, nano=200000000)"
2020-02-11 00:00:00+00:00,211,"Quotation(units=74, nano=0)","Quotation(units=74, nano=200000000)"
2020-02-12 00:00:00+00:00,267,"Quotation(units=74, nano=400000000)","Quotation(units=75, nano=0)"
2020-02-13 00:00:00+00:00,50,"Quotation(units=74, nano=800000000)","Quotation(units=73, nano=800000000)"
2020-02-14 00:00:00+00:00,437,"Quotation(units=74, nano=800000000)","Quotation(units=74, nano=800000000)"
2020-02-17 00:00:00+00:00,122,"Quotation(units=73, nano=600000000)","Quotation(units=75, nano=0)"
2020-02-18 00:00:00+00:00,177,"Quotation(units=75, nano=400000000)","Quotation(units=74, nano=600000000)"
2020-02-19 00:00:00+00:00,443,"Quotation(units=75, nano=800000000)","Quotation(units=75, nano=200000000)"
2020-02-20 00:00:00+00:00,85,"Quotation(units=77, nano=200000000)","Quotation(units=75, nano=400000000)"
2020-02-21 00:00:00+00:00,247,"Quotation(units=76, nano=0)","Quotation(units=76, nano=200000000)"
2020-02-25 00:00:00+00:00,100,"Quotation(units=76, nano=400000000)","Quotation(units=75, nano=400000000)"
2020-02-26 00:00:00+00:00,62,"Quotation(units=74, nano=200000000)","Quotation(units=73, nano=0)"
2020-02-27 00:00:00+00:00,203,"Quotation(units=72, nano=0)","Quotation(units=72, nano=0)"
2020-02-28 00:00:00+00:00,138,"Quotation(units=70, nano=0)","Quotation(units=68, nano=400000000)"
2020-03-02 00:00:00+00:00,264,"Quotation(units=72, nano=600000000)","Quotation(units=70, nano=800000000)"
2020-03-03 00:00:00+00:00,21,"Quotation(units=72, nano=200000000)","Quotation(units=72, nano=200000000)"
2020-03-04 00:00:00+00:00,477,"Quotation(units=70, nano=800000000)","Quotation(units=70, nano=600000000)"
2020-03-05 00:00:00+00:00,149,"Quotation(units=70, nano=0)","Quotation(units=69, nano=800000000)"
2020-03-06 00:00:00+00:00,278,"Quotation(units=69, nano=0)","Quotation(units=68, nano=600000000)"
2020-03-10 00:00:00+00:00,448,"Quotation(units=65, nano=200000000)","Quotation(units=62, nano=800000000)"
2020-03-11 00:00:00+00:00,151,"Quotation(units=63, nano=0)","Quotation(units=63, nano=0)"
2020-03-12 00:00:00+00:00,330,"Quotation(units=62, nano=200000000)","Quotation(units=56, nano=200000000)"
2020-03-13 00:00:00+00:00,153,"Quotation(units=55, nano=800000000)","Quotation(units=58, nano=600000000)"
2020-03-16 00:00:00+00:00,336,"Quotation(units=58, nano=400000000)","Quotation(units=55, nano=400000000)"
2020-03-17 00:00:00+00:00,92,"Quotation(units=58, nano=0)","Quotation(units=58, nano=0)"
2020-03-18 00:00:00+00:00,142,"Quotation(units=58, nano=200000000)","Quotation(units=55, nano=200000000)"
2020-03-19 00:00:00+00:00,195,"Quotation(units=57, nano=200000000)","Quotation(units=56, nano=400000000)"
2020-03-20 00:00:00+00:00,131,"Quotation(units=59, nano=200000000)","Quotation(units=58, nano=600000000)"
2020-03-23 00:00:00+00:00,302,"Quotation(units=53, nano=600000000)","Quotation(units=58, nano=0)"
2020-03-24 00:00:00+00:00,148,"Quotation(units=59, nano=0)","Quotation(units=62, nano=0)"
2020-03-25 00:00:00+00:00,237,"Quotation(units=62, nano=0)","Quotation(units=63, nano=200000000)"
2020-03-26 00:00:00+00:00,176,"Quotation(units=63, nano=0)","Quotation(units=64, nano=400000000)"
2020-03-27 00:00:00+00:00,123,"Quotation(units=63, nano=0)","Quotation(units=62, nano=0)"
2020-03-30 00:00:00+00:00,232,"Quotation(units=62, nano=0)","Quotation(units=61, nano=400000000)"
2020-03-31 00:00:00+00:00,280,"Quotation(units=63, nano=400000000)","Quotation(units=62, nano=400000000)"
2020-04-01 00:00:00+00:00,772,"Quotation(units=62, nano=800000000)","Quotation(units=63, nano=400000000)"
2020-04-02 00:00:00+00:00,559,"Quotation(units=64, nano=0)","Quotation(units=62, nano=800000000)"
2020-04-03 00:00:00+00:00,104,"Quotation(units=63, nano=200000000)","Quotation(units=61, nano=800000000)"
2020-04-06 00:00:00+00:00,177,"Quotation(units=61, nano=200000000)","Quotation(units=63, nano=400000000)"
2020-04-07 00:00:00+00:00,364,"Quotation(units=64, nano=400000000)","Quotation(units=64, nano=600000000)"
2020-04-08 00:00:00+00:00,99,"Quotation(units=63, nano=200000000)","Quotation(units=64, nano=600000000)"
2020-04-09 00:00:00+00:00,84,"Quotation(units=64, nano=600000000)","Quotation(units=65, nano=0)"
2020-04-10 00:00:00+00:00,50,"Quotation(units=65, nano=0)","Quotation(units=64, nano=600000000)"
2020-04-13 00:00:00+00:00,2530,"Quotation(units=64, nano=200000000)","Quotation(units=70, nano=600000000)"
2020-04-14 00:00:00+00:00,477,"Quotation(units=74, nano=200000000)","Quotation(units=74, nano=400000000)"
2020-04-15 00:00:00+00:00,223,"Quotation(units=74, nano=0)","Quotation(units=69, nano=200000000)"
2020-04-16 00:00:00+00:00,72,"Quotation(units=69, nano=600000000)","Quotation(units=71, nano=0)"
2020-04-17 00:00:00+00:00,127,"Quotation(units=71, nano=0)","Quotation(units=71, nano=0)"
2020-04-20 00:00:00+00:00,32,"Quotation(units=70, nano=0)","Quotation(units=70, nano=200000000)"
2020-04-21 00:00:00+00:00,71,"Quotation(units=70, nano=800000000)","Quotation(units=70, nano=200000000)"
2020-04-22 00:00:00+00:00,57,"Quotation(units=70, nano=0)","Quotation(units=71, nano=200000000)"
2020-04-23 00:00:00+00:00,51,"Quotation(units=71, nano=0)","Quotation(units=70, nano=800000000)"
2020-04-24 00:00:00+00:00,256,"Quotation(units=71, nano=0)","Quotation(units=73, nano=0)"
2020-04-27 00:00:00+00:00,462,"Quotation(units=72, nano=0)","Quotation(units=74, nano=0)"
2020-04-28 00:00:00+00:00,137,"Quotation(units=72, nano=800000000)","Quotation(units=72, nano=200000000)"
2020-04-29 00:00:00+00:00,28,"Quotation(units=72, nano=200000000)","Quotation(units=72, nano=400000000)"
2020-04-30 00:00:00+00:00,125,"Quotation(units=73, nano=0)","Quotation(units=70, nano=800000000)"
2020-05-04 00:00:00+00:00,58,"Quotation(units=71, nano=0)","Quotation(units=71, nano=0)"
2020-05-05 00:00:00+00:00,14,"Quotation(units=72, nano=0)","Quotation(units=71, nano=800000000)"
2020-05-06 00:00:00+00:00,39,"Quotation(units=71, nano=200000000)","Quotation(units=71, nano=400000000)"
2020-05-07 00:00:00+00:00,8,"Quotation(units=71, nano=600000000)","Quotation(units=71, nano=600000000)"
2020-05-08 00:00:00+00:00,33,"Quotation(units=72, nano=600000000)","Quotation(units=72, nano=0)"
2020-05-12 00:00:00+00:00,15,"Quotation(units=71, nano=400000000)","Quotation(units=71, nano=400000000)"
2020-05-13 00:00:00+00:00,24,"Quotation(units=72, nano=0)","Quotation(units=70, nano=800000000)"
2020-05-14 00:00:00+00:00,37,"Quotation(units=71, nano=800000000)","Quotation(units=70, nano=600000000)"
2020-05-15 00:00:00+00:00,7,"Quotation(units=70, nano=200000000)","Quotation(units=70, nano=600000000)"
2020-05-18 00:00:00+00:00,75,"Quotation(units=70, nano=0)","Quotation(units=70, nano=400000000)"
2020-05-19 00:00:00+00:00,218,"Quotation(units=70, nano=200000000)","Quotation(units=70, nano=600000000)"
2020-05-20 00:00:00+00:00,81,"Quotation(units=71, nano=0)","Quotation(units=70, nano=800000000)"
2020-05-21 00:00:00+00:00,71,"Quotation(units=70, nano=200000000)","Quotation(units=70, nano=200000000)"
2020-05-22 00:00:00+00:00,59,"Quotation(units=70, nano=400000000)","Quotation(units=70, nano=200000000)"
2020-05-25 00:00:00+00:00,66,"Quotation(units=71, nano=0)","Quotation(units=70, nano=800000000)"
2020-05-26 00:00:00+00:00,283,"Quotation(units=72, nano=0)","Quotation(units=70, nano=200000000)"
2020-05-27 00:00:00+00:00,105,"Quotation(units=71, nano=800000000)","Quotation(units=71, nano=0)"
2020-05-28 00:00:00+00:00,24,"Quotation(units=70, nano=600000000)","Quotation(units=70, nano=600000000)"
2020-05-29 00:00:00+00:00,46,"Quotation(units=70, nano=800000000)","Quotation(units=71, nano=600000000)"
2020-06-01 00:00:00+00:00,22,"Quotation(units=71, nano=600000000)","Quotation(units=71, nano=400000000)"
2020-06-02 00:00:00+00:00,20,"Quotation(units=70, nano=0)","Quotation(units=70, nano=800000000)"
2020-06-03 00:00:00+00:00,35,"Quotation(units=70, nano=800000000)","Quotation(units=70, nano=0)"
2020-06-04 00:00:00+00:00,2727,"Quotation(units=71, nano=600000000)","Quotation(units=75, nano=0)"
2020-06-05 00:00:00+00:00,170,"Quotation(units=76, nano=0)","Quotation(units=74, nano=0)"
2020-06-08 00:00:00+00:00,667,"Quotation(units=75, nano=0)","Quotation(units=71, nano=200000000)"
2020-06-09 00:00:00+00:00,660,"Quotation(units=72, nano=800000000)","Quotation(units=71, nano=800000000)"
2020-06-10 00:00:00+00:00,59,"Quotation(units=72, nano=600000000)","Quotation(units=71, nano=600000000)"
2020-06-11 00:00:00+00:00,59,"Quotation(units=71, nano=400000000)","Quotation(units=71, nano=0)"
2020-06-15 00:00:00+00:00,64,"Quotation(units=71, nano=0)","Quotation(units=71, nano=800000000)"
2020-06-16 00:00:00+00:00,84,"Quotation(units=71, nano=200000000)","Quotation(units=72, nano=800000000)"
2020-06-17 00:00:00+00:00,30,"Quotation(units=71, nano=200000000)","Quotation(units=72, nano=400000000)"
2020-06-18 00:00:00+00:00,344,"Quotation(units=73, nano=0)","Quotation(units=70, nano=200000000)"
2020-06-19 00:00:00+00:00,52,"Quotation(units=70, nano=0)","Quotation(units=70, nano=200000000)"
2020-06-22 00:00:00+00:00,309,"Quotation(units=70, nano=0)","Quotation(units=71, nano=800000000)"
2020-06-23 00:00:00+00:00,7,"Quotation(units=72, nano=0)","Quotation(units=71, nano=800000000)"
2020-06-25 00:00:00+00:00,147,"Quotation(units=71, nano=0)","Quotation(units=70, nano=600000000)"
2020-06-26 00:00:00+00:00,29,"Quotation(units=71, nano=0)","Quotation(units=70, nano=0)"
2020-06-29 00:00:00+00:00,29,"Quotation(units=70, nano=0)","Quotation(units=70, nano=0)"
2020-06-30 00:00:00+00:00,14,"Quotation(units=70, nano=0)","Quotation(units=70, nano=400000000)"
2020-07-02 00:00:00+00:00,214,"Quotation(units=70, nano=0)","Quotation(units=70, nano=400000000)"
2020-07-03 00:00:00+00:00,120,"Quotation(units=70, nano=400000000)","Quotation(units=70, nano=600000000)"
2020-07-06 00:00:00+00:00,58,"Quotation(units=71, nano=200000000)","Quotation(units=71, nano=0)"
2020-07-07 00:00:00+00:00,19,"Quotation(units=70, nano=400000000)","Quotation(units=71, nano=0)"
